name,rating,address,phone,website,website_phone,email
Castlehow J & S Electrical Services,,,(08) 9841 5252,https://www.castlehow.com.au,,
Power Path Electrical,,"2/ 27 Leonora St, Como, WA, 6152",0499 586 948,https://www.powerpathelectrical.com.au,0499 586 948,
Concept Electrics Pty. Ltd.,,"110-112 Bailey St, Grovedale, VIC, 3216",(03) 5241 2107,http://www.conceptelectrics.com,,
Richardson's Electrical Service,,,(07) 4051 7711,https://richardsonselectricalservice.com.au,,admin@richardsonselectricalservice.com.au
Dice (Aust) Pty Ltd,,,(08) 8932 1109,http://diceaust.com.au,11 125 543,info@diceaust.com.au
Arrow Electrical Services,,"109 Auburn St, Wollongong, NSW, 2500",(02) 4227 1490,https://www.arrow-electrical.com.au,,
Electrical Worx Warwick Pty Ltd,,"46 King St, Warwick, QLD, 4370",(07) 4661 1755,https://www.electricalworxwarwick.com.au,627 152 952,
NT Electrical Group,,,(08) 8947 5500,http://nteg.com.au,73 115 654,admin@nteg.com.au
Ben Carton Electrical,,,0439 610 316,https://www.bencartonelectrical.com.au,,
Moran & Bamford Electrical,,"1 Douglas St, Colac, VIC, 3250",(03) 5232 2022,http://www.moranandbamford.com.au,,admin@moranandbamford.com.au
Macarthur Electrical Connection Services,,,1300 306 539,http://www.macarthurelectrical.com.au,,
Guy Andrews Electrical Pty Ltd,,"518 Gardener St, Coonabarabran, NSW, 2357",0427 689 153,http://www.guyandrewselectrical.com.au,0427 689 153,office@guyandrewselectrical.com.au
Enever Electrical Pty Ltd,,,0419 237 366,http://www.eneverelectrical.com.au,,
A Hepworth Electrical Pty Ltd,,,0413 809 331,https://hepworthelectrical.com.au,0413 809 331,
Huntley Skinner Electrical,5.0,,0400 357 882,https://www.huntleyskinnerelectrical.com.au,0400 357 882,admin@huntleyskinnerelectrical.com.auLICENCE
Lahn Electrics,5.0,,(03) 5442 7702,http://lahnelectrics.com,,
,,,,,,
,,,,,,
Mr Emergency,,,1300 355 547,https://www.mremergency.com.au/service-areas/sa/electrician-wynn-vale,1300 164 064,
Highland Electrical Services,,,(02) 4861 4339,https://highlandelectricalservices.com.au,,
Bryson Green Electrics,5.0,,0439 967 253,http://bryson-green-electrics.business.site,,
ELECTRICIANS@WORK PTY LTD,5.0,,0493 563 216,,,
Milno's Electrical,,"42 Nicol St, Yarram, VIC, 3971",0400 645 667,http://www.milnoselectrical.com.au,0400 645 667,nick@milnoselectrical.com.au
Mildura Electrical,,,(03) 5022 7483,http://www.milduraelectrical.com.au,,
Accent Electrics,,,0417 482 072,https://www.accentelectrics.com.au,,
"Andreazza Electrical, Solar & Air Conditioning",,,0409 242 087,https://www.andreazza.com.au,,
,,,,,,
B.R.B. Electrical Contractor & Services,,,(03) 5449 7103,https://www.brbelectrical.com.au,,
Coral Coast Electrical,,,(08) 9143 1414,https://www.coralcoastelectrical.com,,
Adam Luck Electrical,,"22 Churchill St, Dalby, QLD, 4405",(07) 4596 8162,http://www.adamluckelectrical.com.au,15 593 966,admin@adamluckelectrical.com.au
Zac Campbell Electrical,,,0406 894 486,https://www.facebook.com/pages/category/Electrician/Zac-Campbell-Electrical-1603478653273081,,
Runcorn Electrical Services Pty Ltd,,,(07) 3273 2914,http://www.runcornelectricalservices.com.au,,
SB Electrical,,,0403 607 607,https://www.sbelectrical.com.au,,
Nerencom Group,,,(02) 4990 9269,http://www.nerencom.com.au,,
Griffiths Innovative Electrical,3.7,,0415 427 400,https://www.gielectrical.com.au,,
Sparky's A Class Electrical Pty Ltd,,,0403 011 156,http://www.sparkysaclass.com.au,,
GPE Electrical & Communications Contractor Pty Ltd,,"4/ 21 Nagle St, Wagga Wagga, NSW, 2650",(02) 6971 0020,http://www.gpe.com.au,,admin@gpe.com.au
Wagga Electrical,,,(02) 6921 1168,http://www.electric.com.au,,
Fenton Electrical Pty Ltd,5.0,,(03) 5221 3409,,,
Sigmars Electrical,5.0,,0418 794 465,http://sigmarselectrical.com.au,,
Peter Gow Electrician,,"10 Bounty St, Lismore, NSW, 2480",(02) 6622 4985,,,
D J Hogan Electrical Contractors,,,(08) 8971 1425,http://www.djhogan.net,,djhogan@bigpond.com
ElectroSafe,,,(07) 4128 7025,http://www.electrosafe.net.au,,
John Thomas Electrical Services Pty Ltd,,"Unit 8 2 Statham St, Bennetts Green, NSW, 2290",(02) 4947 1210,http://www.jtelectrical.com.au,,
Rock Electrical,3.5,,0439 765 533,http://www.rockelectrical.com.au,0439 765 533,info@rockelectrical.com.auHomeAboutAbout
Concept Electrical NSW,5.0,,(02) 6064 2277,https://www.conceptelectricalnsw.com,60 815 873,conceptelectricalnsw@outlook.comEnquiriesEnquire
Cotton Electrical Pty Ltd,,,(02) 4957 0462,https://www.cottonelectrical.com.au,,
Jaguar Cabling,,,0427 426 086,,,
MBE Electrical Contractors Pty Ltd,,"50 Lake St, Merimbula, NSW, 2548",0427 754 030,http://www.mbelectrical.net.au/content,,
AJ & M Electrical,,,0428 192 870,,,
Turbo Fire & Electrical Solutions,5.0,"5/ 231 Mclachlan St, Orange, NSW, 2800",1300 525 485,,,
Matthew Burke Electrical Pty Ltd,,,(02) 4869 2341,http://matthewburkeelectrical.com.au,,
Greenwood Electrical Group Pty Ltd,,,(03) 8668 7301,http://www.greenwoodelectrical.net.au,,
Spot On Electrical,,,(07) 3344 7944,http://spoes.com.au,,
Power Play Electrical Tas Pty Ltd,,,(03) 6248 4999,http://www.powerplayelectrical.com.au,,
,,,,,,
,,,,,,
Ben Walsh Solar & Electrical/Sun Central Solar,,,0403 749 138,https://www.suncentralsolar.com.au,,
Matrix Electrical Solutions,,,(08) 8177 0757,http://www.matrixelectricalsolutions.com.au,8177 075740,5039enquiries@matrixelectricalsolutions.com.auPGE
Burra Electrical Services,,"11 Little Commercial St, Korumburra, VIC, 3950",(03) 5658 1925,http://www.burraelectrical.com.au,0430 196 015,
Shaw Electrical Solutions,,,(02) 6765 6212,http://www.shawelectricalsolutions.com.au,53 134 899,chris@shawelectricalsolutions.com.au
G J Appliance & Electrical Service,1.5,"83 Reibey St, Ulverstone, TAS, 7315",(03) 6425 1747,http://www.gjelectric.com.au,,
Select Essential Pty Ltd,,,1300 784 167,http://www.selectessential.com.au,,
Warren Electrical Service,,"7 Rose St, Manjimup, WA, 6258",(08) 9777 2475,http://www.warrenelectricalservice.com.au,,admin@warrenelectrical.com.auThanks
,,,,,,
Walker Electrical Contracting,,,0437 552 123,https://www.walkerelectrical.com.au,,
Cairns Excel Electrics,,"115 Brown St, Cairns, QLD, 4870",(07) 4035 3551,http://www.cairnsexcelelectrics.com.au,,
Caldwell Electrical Services,,,(02) 6643 1499,http://www.caldwellelectrical.com.au,(02) 664314,office@caldwellgroup.com.au
Rites Electrical,5.0,,0400 618 222,https://www.facebook.com/riteselectrical,,
Rutherford Electrical,,,0408 106 033,http://rutherfordelectricalanddata.com.au,0408 106 033,admin@rutherfordelectrical.net
Sapphire Coast Electrical,,,0425 848 048,http://www.sapphirecoastelectrical.com.au,0425 848 048,tye@sapphirecoastelectrical.com.au
Price Electrical Pty Ltd,,"1 Fotheringham St, Warrnambool, VIC, 3280",0409 926 191,https://priceelectrical.com.au,0418 529 076,
Weiley Electrical Pty Ltd,,,(02) 6884 9292,https://www.weileyelectrical.com,68849292,USservice@wyelec.com.au
Sapphire City Solar & Electrical,,"58 Oliver St, Inverell, NSW, 2360",(02) 6722 2345,http://www.sapphirecitysolar.com.au,,
Redfox Electrical Contractors,,,0439 354 054,http://www.redfoxelectrical.com.au,0439262056,admin@redfoxelectrical.com.au
DTE Electrical & Data PTY LTD,,,(02) 6800 1703,https://www.dtedubbo.com.au,,
Keany's Electrical Service,,,0428 635 587,http://www.keanyselectricalservice.com.au,,
E -Tec Pty Ltd,,"39 McKenzie St, Alexandra, VIC, 3714",0418 629 874,http://www.etecelectrical.com.au,,
Christian & Co. Electrical Contractors,,"42 Bunbury St, Busselton, WA, 6280",(08) 9752 4766,http://www.christianandco.com.au,,
Mcmahon Electrical Services,5.0,,0431 218 670,https://www.mcmahonelectricalservices.com,0431 218 670,EmailReception@mcmahonelectricalservies.comJacob
A & J Electrical Contractors,,,(02) 6762 3900,http://www.ajelec.com.au,,
ELLISTRICITY,4.6,,0412 375 737,http://www.ellistricity.com.au,0412 375 737,
Livewired Electrical Pty Ltd,,,(07) 4634 4944,http://www.livewiredelectrical.com.au,,
TJH Electrical,,,0447 047 519,http://tjhelectrical.weebly.com,,
EDC Systems Pty Ltd,,"Unit 3 / 40 Proprietary St, Tingalpa, QLD, 4173",(07) 3890 7068,http://www.edcsystems.com.au,,
Jayce Engineering Pty Ltd,,,0437 376 653,https://jayceengineering.com,0409092879,info@jayceengineering.comHoursOpen
John Thomas Electrical,,"4 Dawson St North, Ballarat, VIC, 3350",(03) 5333 3843,http://www.johnthomaselectricalvic.com.au,,
Magilton Electrical Pty Ltd,,,0418 591 228,https://www.facebook.com/magiltonelectrical,,
Kilner Electrics,,,0418 179 200,http://www.kilnerelectrics.com.au,0418 179 200,
Hennig Electrical Services,,"6 Tamper St, Nambour, QLD, 4560",(07) 5476 0414,https://www.hennigelectrical.com.au,,
Rising Sun Electrical Pty Ltd,,,0407 736 948,http://risingsunelectrical.yellow.com.au,,
Nashcom Electrical,,,0438 044 257,http://www.nashcomelectrical.com.au,,
MPN Electrical,4.2,,0422 989 530,https://www.facebook.com/MPNelectrical1?tsid=0.9974951121967588&source=result,,
,,,,,,
,,,,,,
Mr Emergency,,,1300 355 547,https://www.mremergency.com.au/service-areas/wa/electrician-leeming,1300 164 064,
Dynamic Electrical Contractors,,,0439 717 989,http://www.dynamicelectrical.com.au,0439 717 989,
Western District Electrical Services,,,0438 570 337,http://www.wdelectrical.com.au,0438 570 337,
Wattson Electrical P/L,5.0,,0421 468 094,http://www.wattson.net.au,0421 468 094,7310spark@wattson.net.au0421
A.B.A. Security & Electrical,,,(08) 9841 7828,http://www.abasecurityandelectrical.com.au,,reception@abasecurity.com.au
Laser Electrical Horsham,,,(03) 5382 1375,http://www.laserelectrical.com.au,,
TEC Automation - Top End Controls and Automation Pty Ltd,5.0,,(08) 8968 9484,https://www.tecautomation.com.au,,
Rabbit Electrical Service Tamworth Pty Ltd,,"17 Ebsworth St, Tamworth, NSW, 2340",(02) 6762 4332,http://www.rabbitelectrical.com.au,,
,,Start by browsing through our online directory to find electricians in your area,,,,
Flinders Electrical And Building Services Pty Ltd,,"84 Stirling Rd, Port Augusta, SA, 5700",(08) 8641 1173,https://febs.com.au,,
Linked Group Services Pty Ltd,,,0409 073 053,http://www.linked.net.au,,projects@linked.net.au
Total Electrical Communication Services,,"Lot 2 Hardie St, Port Hedland, WA, 6721",(08) 9173 2231,http://www.tecservices.com.au,0448 000 745,admin@tecservices.com.au
Ballarat Electrical Company,,"1322 Dana St East, Ballarat Central, VIC, 3350",0418 362 840,,,
Stephenson Electrical Contracting,,,(02) 7912 4300,https://secforbes.com.au,0400 171 476,
WSE Electric,,,1300 973 353,https://wseelectric.com.au,1300 973 353,office@wse.com.au1300
Bartel's Electrical & Home Maintenance Service,,"3/ 26 Geelong St, Fyshwick, ACT, 2609",(02) 6254 1473,http://www.bartelselectricalservice.com.au,,
Jackson Electrical & Air Conditioning Contractors,,,0427 633 667,https://www.phillipislandelectrical.com.au,0427 633 667,Jacksonmichael@phillipislandelectrical.com.au0427
Light 'Em Up Electrical & Data,,,0401 756 883,,,
Arcadia Electrical Pty ltd,,,(02) 4975 5226,https://arcadiaelectrical.business.site/?utm_source=gmb&utm_medium=referral#details,,
De Araugo & Lea Electrical Contractors (VIC) Pty Ltd,,,(03) 5441 6222,http://www.dearaugolea.com.au,0488 643 312,info@dearaugolea.com.au
Mt Barker Electrics,,,(08) 9851 1436,http://mtbarkerelectrics.com,,
Jetstream Electrical,,,(08) 8984 3434,http://www.jetstreamelectrical.com,08 898434,
Jetset Electrical Pty Ltd,,,1300 453 871,https://jetsetelectrical.com.au,1300 453 871,
On Q Electrical,,,(07) 3883 4488,https://onqelectrical.com.au,,
TTS Electrics,,,(03) 5278 3746,http://www.ttselectrics.com.au,0416 046 738,
Country Powerline Constructions,,"1 Johnson St, Dubbo, NSW, 2830",(02) 6882 0354,http://www.countrypower.net.au,85 315 943,0354admin@countrypower.net.au
Lovick Electrics,,,0419 491 691,http://www.lovickelectrics.com.au,0409175277,277richard@lovickelectrics.com.au
Williams Electrical Contracting Pty Ltd,,,(02) 9890 2337,http://www.williamselectrical.net.au,,
Five Star Electrical (ACT) Pty Ltd,,"8/ 79-81 Galdstone St, Fyshwick, ACT, 2609",(02) 6239 3550,http://www.fse.net.au,,
SDS Electrical Services,,,(02) 5317 7044,http://www.sdselectrical.com.au,0407 414 609,
Adlec Electrical Services,,"217 Bolsover St, Rockhampton, QLD, 4700",(07) 4922 4817,https://www.adlec.com.au,,accounts@adlec.com.au
MiD Electrical,,,(02) 6581 0638,https://midelectrical.net.au,,
C.J.O. Group Pty Ltd,,"Unit 10 34-36 Lidco St, Arndell Park, NSW, 2148",(02) 9831 4202,http://www.cjo.com.au,02 983142,983142020411720806Contacttechsupport@cjo.com.auLegal
Dean Jones Electrical,,,0408 480 210,https://dean-jones-electrical-electrician.business.site,,
ACDC (ACT) Pty Ltd,,,0418 630 774,http://acdcelectricians.com.au,0418 630 774,
John Yalden Electrical Services Pty Ltd,,,0438 268 998,https://jyelectrical.com.au,0438 268 998,
Sunshine Electrical Services Nsw,5.0,,0416 043 414,http://www.sunshineelectricalnsw.com.au,0416 043 414,414contact@sunshineelectricalnsw.com.au
,,,,,,
,,,,,,
