name,rating,address,phone,website,website_phone,email
Allen Gillespie Electrical Pty Ltd,5.0,"38 North St, Maryborough, QLD, 4650",,https://www.allengillespieelectrical.com.au,07 412130,sales@allengillespie.com.au
Elvery's Electrical Service Pty Ltd,5.0,"19 McLean St, Bundaberg, QLD, 4670",,https://elveryselectrical.com,,
Mr Emergency,5.0,,,https://www.mremergency.com.au/service-areas/sa/electrician-adelaide,1300 164 064,
,,,,,,
,,,,,,
Star Plus Electrical,,,,http://www.starpluselectrical.com.au,1800 773 111,111Emailhello@starpluselectrical.com.au
Hilton Electrical,4.5,,,https://www.hiltonelectrical.com.au,,
Keith Atkinson Electrical,,,,https://kaelectricians.com.au,,hello@kaelectricians.com.au
O'Brien Electrical,,,,https://www.obrien.com.au/locations/electrical-and-plumbing/o'brien-electrical-mount-gambier,,
Top End R.A.C.E,,,,https://www.topendrace.com.au,,
Hudson Electrical,,,,https://hudsonelectricalnb.com.au,0411 342 719,
Kris Electrical Services,,"10 Lipson St, Port Adelaide, SA, 5015",,http://www.kriselectricalservices.com.au,0408 876 445,
John W Youings Co Pty Ltd,,,,http://www.youingselectricalservices.com.au,,
,,,,,,
D B Electrical Pty Ltd,5.0,,,http://www.dbelectrical.com.au,,
Thomson Refrigeration & Air Conditioning,5.0,,,https://www.thomsonrac.com.au,35 155 843,sales@thomsonrac.com.auOpening
After Hours Electrical,4.8,,,https://afterhourselectrical.com.au/locations/sa/electrician-adelaide,,
Allround Electrical Service,5.0,,,http://www.allroundelectricalservices.com.au,,
Johnstone Electrical & Sunvalley Solar,,"20 Watson St, Shepparton, VIC, 3630",,https://www.johnstoneelectrical.com.au,,admin@johnstoneelectrical.com.au
Ferguson's Electrical & Air,5.0,,,http://www.fergusonselectrical.com.au,1300 295 811,info@cqelectricalgroup.com.au
Cooranbong Electrical Services,,,,https://www.cooranbongelectrical.com.au,,
Ardina Electrical (Northwest) Pty Ltd,5.0,"8 Denison St, Tamworth, NSW, 2340",,https://www.ardinaelectricalnw.com.au,67 627 111,info@ardinaelectricalnw.com.au
Aus-Tech Electrical & Automation Pty Ltd,,,,https://www.austech.net.au,,
Click Control Systems,,"48- 50 Vains St, Bendigo, VIC, 3550",,https://www.clickcontrol.com.au,1800 664 078,
Stuckey Electrical Contractors,,,,http://www.stuckeyelectrical.com.au,,
Campbelltown Electrical,5.0,,,http://www.campbelltownelectrical.net.au,,
Cyber Electrical,4.9,,,https://cyberelectrical.com.au/locations/sa/electrician-adelaide,,
Gealys Electrical,5.0,,,https://gealyselectrical.com.au,,
Sparkrite Electrical,,,,https://www.sparkriteelectrical.com.au,,
Urban Energy Electrical Contractors,,,,http://www.urbanenergytas.com.au,,
Powerlec Electrical And Data Pty Ltd,1.0,,,https://powerlec.com.au,,
R W Coulthard Electrical Services PTY LTD,,,,https://www.rwcoulthardelectrical.com.au,,
Shoalhaven Coast Electrical,5.0,,,https://shoalhavencoastelectrical.com.au,0410 535 878,
Verlindens Electrical Service (WA),5.0,,,http://www.verlindenselectrical.com.au,,
Level Electrical & Air Tamworth,5.0,"2/ 85 Barnes St, Tamworth, NSW, 2340",,https://levelau.com.au/electrician-tamworth,83 106 271,tamworth@levelelectrical.com.au
Urban Electrics Pty Ltd,5.0,,,https://www.urbanelectricsmelbourne.com.au,,
N. & K. Electrical Contractors Pty Ltd,,"107 Windham St, Wallan, VIC, 3756",,http://nkelectrical.com.au,0418 569 953,
O’Brien Electrical Warrnambool,5.0,,,https://www.electricianwarrnambool.com.au,,
Gold Coast City Electrical,,,,http://www.goldcoastcityelectrical.com.au,153 875 186,info@gcce.com.au
AAA Electrical (Newcastle) Pty Ltd,,,,http://www.aaaelectrical.com.au,,
O'Brien Electrical Mildura,,,,https://www.obrien.com.au,1800 059 829,
Care Technical Services,5.0,,,http://www.caretechnicalservices.com.au,,
,,,,,,
,,,,,,
